(1)   | 105.215 (19:56:24.177) 32    | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 105.710 (19:56:24.672) 35    | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 106.305 (19:56:25.267) 37    | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 106.745 (19:56:25.707) 39    | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 167.259 (19:57:26.221) 117   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 167.760 (19:57:26.722) 121   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{6}   | 167.865 (19:57:26.827) 122   | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 168.345 (19:57:27.307) 124   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 168.775 (19:57:27.737) 126   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 229.309 (19:58:28.271) 211   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 229.809 (19:58:28.771) 214   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 230.359 (19:58:29.321) 216   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 230.859 (19:58:29.821) 218   | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(7)   | 291.459 (19:59:30.421) 300   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(8)   | 291.859 (19:59:30.821) 304   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(9)   | 292.459 (19:59:31.421) 306   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{9}   | 292.459 (19:59:31.421) 307   | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 292.959 (19:59:31.921) 309   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 353.459 (20:00:32.421) 388   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 353.859 (20:00:32.821) 391   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 354.360 (20:00:33.322) 393   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 354.959 (20:00:33.921) 395   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 415.409 (20:01:34.371) 480   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(7)   | 415.909 (20:01:34.871) 484   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(8)   | 416.459 (20:01:35.421) 486   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{8}   | 416.559 (20:01:35.521) 487   | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 417.009 (20:01:35.971) 489   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 477.509 (20:02:36.471) 571   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 477.959 (20:02:36.921) 574   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 478.459 (20:02:37.421) 576   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 479.009 (20:02:37.971) 578   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{5}   | 479.009 (20:02:37.971) 579   | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 539.459 (20:03:38.421) 659   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 540.059 (20:03:39.021) 662   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 540.459 (20:03:39.421) 664   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 541.059 (20:03:40.021) 666   | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{4}   | 541.059 (20:03:40.021) 667   | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

